"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.142835000E-1,-6.282819331E-1,-5.098337893E-1,1.903013756E0,2.067880566E0
7.242955000E-1,2.161116579E0,-4.894084418E-1,4.281009704E-1,2.256815441E0
7.343075000E-1,2.522830018E0,-8.359423618E-1,-8.055948740E-1,2.777130539E0
7.443195000E-1,-4.832212105E-2,-2.244854409E0,8.074180359E-1,2.386132902E0
7.543315000E-1,-4.056030188E0,-3.020716045E0,-1.005735126E0,5.156317431E0
7.643425000E-1,-5.755830688E0,-3.413083803E0,-6.873922402E-1,6.726903898E0
7.743545000E-1,-3.452299617E0,-3.470485919E0,-1.036457566E0,5.003687585E0
7.843665000E-1,1.492688029E0,-2.234707004E0,-6.060207499E0,6.629339928E0
7.943785000E-1,4.994598640E0,1.928559657E0,-6.800086101E0,8.654855799E0
8.043905000E-1,4.088591285E0,3.848112847E0,-1.298688816E0,5.762911055E0
8.144025000E-1,-1.681859489E0,3.118611006E0,2.958626216E0,4.616043223E0
8.244145000E-1,-1.751678752E0,2.028530087E0,2.823335094E0,3.892882457E0
8.344255000E-1,-1.870713591E-1,-5.030692917E-1,2.277551892E0,2.339939535E0
8.444375000E-1,-1.468071032E-1,-1.147445028E0,1.018713605E0,1.541414879E0
8.544495000E-1,-7.649846457E-1,-2.456272039E-1,7.271538913E-2,8.067352473E-1
8.644615000E-1,-1.238901913E0,1.036179531E0,-6.856035769E-2,1.616553894E0
8.744735000E-1,-1.387866419E-1,2.105144400E0,4.513079846E-1,2.157446077E0
8.844855000E-1,1.810621025E0,2.385535640E0,1.457063575E0,3.330489911E0
8.944975000E-1,3.383704468E0,1.662469537E0,2.492051151E0,4.519245494E0
9.045085000E-1,4.154327730E0,6.375283545E-1,3.467431042E0,5.448665829E0
9.145205000E-1,4.688723187E0,-1.266696945E-1,4.398976110E0,6.430486852E0
9.245325000E-1,4.488968852E0,-7.142675051E-1,5.158817106E0,6.875639124E0
9.345445000E-1,3.987596422E0,-1.010858748E0,5.272352493E0,6.687335900E0
9.445565000E-1,3.101775995E0,-1.479107578E0,3.926218200E0,5.217658757E0
9.545685000E-1,2.124097857E0,-1.801628592E0,2.361712621E0,3.651759000E0
9.645805000E-1,6.275875032E-1,-1.862492844E0,3.491091800E-1,1.996152020E0
9.745915000E-1,-3.139919722E-1,-1.237993256E0,-5.257956648E-1,1.381187656E0
9.846035000E-1,-2.754477113E-1,-6.749920499E-1,-1.639187971E0,1.793996352E0
9.946155000E-1,2.841527537E-2,-3.519743156E-1,-2.245911439E0,2.273502043E0
1.004627500E0,3.976051095E-1,6.216525793E-2,-2.064607993E0,2.103463930E0
1.014639500E0,1.023170938E0,2.270976698E-1,-1.177506441E0,1.576379884E0
1.024651500E0,1.446876264E0,-2.780818820E-1,-5.015390754E-1,1.556381027E0
1.034663500E0,1.604604321E0,-1.036096793E0,-2.709950566E-1,1.929168192E0
1.044675500E0,1.740364097E0,-1.340270121E0,-4.253937095E-1,2.237442959E0
1.054686500E0,1.554955906E0,-1.306911755E0,-1.067828463E0,2.294812374E0
1.064698500E0,1.233411085E0,-9.829391706E-1,-1.980778216E0,2.531986307E0
1.074710500E0,9.901397243E-1,-6.237944144E-1,-2.858695546E0,3.088953928E0
1.084722500E0,9.288448244E-1,-5.293063331E-1,-3.170494228E0,3.345885765E0
1.094734500E0,6.302918404E-1,-3.730470961E-1,-2.946808408E0,3.036463689E0
1.104746500E0,4.140094730E-1,-2.690368241E-1,-2.483215424E0,2.531826119E0
1.114758500E0,-1.970654932E-1,-4.518009049E-1,-1.553350845E0,1.629680249E0
1.124769500E0,-1.069471823E0,-9.717025763E-1,-1.763584560E0,2.279957538E0
1.134781500E0,-2.679492420E0,-1.776364819E0,-2.939987631E0,4.356452556E0
1.144793500E0,-4.241457675E0,-2.370373517E0,-3.059191893E0,5.741714802E0
1.154805583E0,-3.956270257E0,-2.396256802E0,-2.891324764E0,5.454711715E0
1.164817583E0,-2.766954779E0,-1.672536396E0,-2.928147604E0,4.362048273E0
1.174829583E0,-1.437351150E0,-5.905641031E-1,-2.092461789E0,2.606365405E0
1.184841583E0,3.963169679E-1,6.650377500E-1,-1.152681502E0,1.388530516E0
1.194853583E0,8.681980884E-1,1.395353231E0,-1.471664658E0,2.206031601E0
1.204864583E0,6.719386339E-2,1.201570657E0,-1.657205581E0,2.048076511E0
1.214876583E0,-6.598445454E-1,6.893680143E-1,-9.807224911E-1,1.368371181E0
1.224888583E0,-9.778620332E-1,1.220892781E-1,-5.947583109E-1,1.151024499E0
1.234900583E0,-1.114995613E0,-3.249139863E-1,-2.700220799E-1,1.192349042E0
1.244912583E0,-9.562545249E-1,-2.059237325E-1,3.747714400E-1,1.047511781E0
1.254924583E0,-5.334800756E-1,4.674422067E-1,9.166481173E-1,1.159028463E0
1.264936583E0,-1.375952169E-1,1.233071947E0,1.036926513E0,1.616977261E0
1.274948583E0,1.114450067E-2,1.445908842E0,1.049689230E0,1.786791555E0
1.284960583E0,1.129053488E-1,1.212605522E0,1.440778495E0,1.886531856E0
1.294971583E0,1.292363590E0,2.115650677E0,1.502943168E0,2.899141184E0
1.304983583E0,9.872462296E-1,2.997934123E0,2.044298859E0,3.760508204E0
1.314995583E0,3.494296074E-2,2.919971443E0,2.325244122E0,3.732856073E0
1.325007583E0,-2.232855776E-1,2.523724349E0,2.359990032E0,3.462454908E0
1.335019583E0,-2.043186718E-1,2.471835573E0,2.467211010E0,3.498406407E0
1.345031583E0,-7.574281427E-1,2.478036545E0,2.225655515E0,3.415831521E0
1.355043583E0,-1.322996861E0,1.940458156E0,1.604951354E0,2.844568051E0
1.365055583E0,-6.818356311E-1,1.634319579E0,1.438857685E0,2.281712460E0
1.375066583E0,7.270922032E-1,1.728107164E0,1.925344273E0,2.687371952E0
1.385078583E0,2.527937560E0,1.906515069E0,3.166423981E0,4.477891116E0
1.395090583E0,4.179301773E0,2.216043862E0,4.834315934E0,6.763728576E0
1.405102583E0,3.831113822E0,1.657006191E0,5.259357056E0,6.714457482E0
1.415114583E0,2.430043184E0,5.133375871E-1,4.740190380E0,5.351451223E0
1.425126583E0,5.891116548E-1,-1.120580288E0,3.395125250E0,3.623482881E0
1.435138583E0,-1.495602574E0,-2.526838576E0,1.763456506E0,3.425130523E0
