"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.158777500E-1,5.724160999E-1,-1.753753929E-1,4.771246111E-1,7.655485709E-1
6.259157500E-1,7.763747294E-1,-2.300531450E-1,4.034169495E-1,9.046697769E-1
6.359537500E-1,9.382800378E-1,-3.873097707E-1,2.341821563E-1,1.041738725E0
6.459917500E-1,1.112331329E0,-6.039362468E-1,2.977636099E-2,1.266059480E0
6.560297500E-1,1.210130396E0,-7.951774746E-1,-7.685521781E-2,1.450044660E0
6.660667500E-1,1.223633079E0,-8.969428544E-1,-7.201196909E-2,1.518871331E0
6.761047500E-1,1.174011414E0,-8.523566656E-1,4.491480231E-2,1.451493033E0
6.861427500E-1,1.031772777E0,-6.834268047E-1,3.383684295E-1,1.283012258E0
6.961807500E-1,8.063557430E-1,-5.426604965E-1,7.420087427E-1,1.222811095E0
7.062187500E-1,5.991402143E-1,-4.558400153E-1,1.147916021E0,1.372760106E0
7.162567500E-1,4.052680318E-1,-4.720406033E-1,1.319832348E0,1.459116834E0
7.262947500E-1,2.632058345E-1,-5.593560514E-1,1.252738472E0,1.396964632E0
7.363317500E-1,3.334697784E-1,-7.338110925E-1,1.025612735E0,1.304439456E0
7.463697500E-1,4.499777430E-1,-9.340928467E-1,6.849662304E-1,1.242653673E0
7.564077500E-1,5.723981197E-1,-1.079376421E0,1.431041712E-1,1.230110511E0
7.664457500E-1,8.376418550E-1,-1.275976476E0,-2.898686993E-1,1.553635642E0
7.764837500E-1,1.202653561E0,-1.446314054E0,-7.225024313E-1,2.014996202E0
7.865217500E-1,1.309313353E0,-1.537846222E0,-9.815130347E-1,2.245582396E0
7.965597500E-1,1.379749936E0,-1.553944776E0,-1.170827166E0,2.385223366E0
8.065967500E-1,1.587870467E0,-1.454303690E0,-1.373195207E0,2.553820064E0
8.166347500E-1,1.729345458E0,-1.265766945E0,-1.512758889E0,2.623211987E0
8.266727500E-1,1.828057129E0,-1.151489109E0,-1.625959815E0,2.703972144E0
8.367107500E-1,1.597513842E0,-1.337670741E0,-2.131379102E0,2.980635899E0
8.467487500E-1,1.555952271E0,-8.780018225E-1,-1.890889555E0,2.601410767E0
8.567867500E-1,4.568963148E-1,1.729577154E-2,-1.832761799E0,1.888933349E0
8.668247500E-1,-6.416485950E-1,6.342043586E-1,-1.742411208E0,1.962122551E0
8.768617500E-1,-7.701546076E-1,8.743682896E-1,-1.235182207E0,1.698038018E0
8.868997500E-1,-4.441466072E-1,7.700788131E-1,-5.504656523E-1,1.045609880E0
8.969377500E-1,-1.640161532E-1,7.514133313E-1,1.334246904E-1,7.805930059E-1
9.069757500E-1,-1.486172184E-1,8.499347489E-1,6.427890944E-1,1.075943295E0
9.170137500E-1,-2.183954050E-1,9.220121337E-1,9.318415225E-1,1.328958822E0
9.270517500E-1,-3.614773567E-1,9.584160212E-1,1.031362887E0,1.453594357E0
9.370897500E-1,-5.977320586E-1,1.005394525E0,9.789507848E-1,1.525269289E0
9.471267500E-1,-8.918712719E-1,1.083678949E0,7.604187012E-1,1.596255315E0
9.571647500E-1,-1.014510773E0,1.131233769E0,5.559409851E-1,1.618021115E0
9.672027500E-1,-1.028919043E0,1.200813369E0,3.845789748E-1,1.627429917E0
9.772407500E-1,-9.636188006E-1,1.243194354E0,2.528113854E-1,1.593112360E0
9.872787500E-1,-8.935368513E-1,1.303136500E0,1.674519771E-1,1.588903083E0
9.973167500E-1,-8.128332885E-1,1.341776071E0,6.795575559E-2,1.570248058E0
