"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.165330417E-1,4.369830737E-1,-3.983839586E-1,-2.682135361E-1,6.493092377E-1
6.265620417E-1,-3.806501941E-1,-1.412032413E-1,4.796225417E-1,6.283873870E-1
6.365920417E-1,-1.103495163E0,2.143828994E-1,1.099795775E0,1.572645017E0
6.466210417E-1,-1.096827802E0,7.809909600E-1,7.502439612E-1,1.541377341E0
6.566500417E-1,-1.840044068E0,1.416144760E0,-7.709319949E-2,2.323181335E0
6.666790417E-1,-3.013896437E0,8.404334620E-1,-2.354709996E0,3.915936581E0
6.767080417E-1,-2.744704077E0,1.004943120E0,-2.545389453E0,3.875863596E0
6.867370417E-1,-2.336722499E0,2.134926608E0,-1.482413009E0,3.495101142E0
6.967670417E-1,-2.237625204E0,2.117144348E0,1.520566092E0,3.435314830E0
7.067960417E-1,-1.571385120E-1,1.709086171E0,1.540784009E0,2.306443890E0
7.168250417E-1,5.530985074E-1,1.013155827E-1,-3.361119890E-1,6.550985234E-1
7.268540417E-1,2.809986193E0,-1.495473350E0,-1.867587231E0,3.690575160E0
7.368830417E-1,1.633844639E0,-2.342283493E0,-2.541184135E0,3.822742089E0
7.469120417E-1,1.484258391E0,-1.647933944E0,-2.239758414E0,3.152019512E0
7.569410417E-1,2.496918958E-1,-1.291373072E0,-2.456112410E0,2.786122507E0
7.669710417E-1,-2.050728749E0,-8.703489867E-1,-2.501835297E0,3.349951584E0
7.770000417E-1,-2.821418377E0,-7.183041304E-2,-3.482177135E0,4.482311777E0
7.870290417E-1,-2.413002351E0,8.560379264E-1,-3.850592067E0,4.624115109E0
7.970580417E-1,-1.534888262E0,1.251153876E0,-3.856432850E0,4.335128871E0
8.070870417E-1,-6.533178833E-1,1.073327477E0,-2.575567517E0,2.865729255E0
8.171160417E-1,4.544301054E-1,1.250904200E0,-1.380356877E0,1.917460077E0
8.271460417E-1,1.250729515E0,1.885608642E0,-2.110692238E0,3.094328036E0
8.371750417E-1,1.413599760E0,2.238048103E0,-2.128894036E0,3.396956492E0
8.472040417E-1,1.800659270E0,2.450171639E0,-7.368836582E-2,3.041569470E0
8.572330417E-1,2.826580884E0,2.548842233E0,9.266070950E-1,3.917238432E0
8.672620417E-1,2.052123895E0,1.809449535E0,4.928440903E0,5.636918470E0
8.772910417E-1,-3.509706411E-1,8.633060154E-1,1.029178016E1,1.033388681E1
8.873200417E-1,-3.176513937E0,-1.076272134E0,1.440437252E1,1.478967715E1
8.973500417E-1,-4.744439551E0,-2.331025557E0,1.679910904E1,1.761117405E1
9.073790417E-1,-3.845300921E0,-1.838712072E0,1.730040955E1,1.781772634E1
9.174080417E-1,-1.542073613E0,-6.542945145E-1,1.672305314E1,1.680674265E1
9.274370417E-1,9.948041944E-1,8.757354417E-1,1.465329082E1,1.471310572E1
9.374660417E-1,1.783718570E0,1.789621919E0,1.208459028E1,1.234591919E1
9.474950416E-1,8.709601669E-1,1.639861570E0,1.005286878E1,1.022290997E1
9.575250417E-1,-7.081385998E-1,1.230336327E0,8.407962232E0,8.526958230E0
9.675540417E-1,-2.035671000E0,1.034557221E0,7.475203866E0,7.816197151E0
9.775830416E-1,-1.949909595E0,8.582701010E-1,6.942330732E0,7.261868285E0
9.876120416E-1,-8.139623858E-1,3.615783674E-1,6.091017648E0,6.155791555E0
9.976410416E-1,-1.964588445E-1,9.942342371E-2,5.128454854E0,5.133179355E0
1.007670042E0,-4.682979468E-1,-2.172398490E-1,4.211745341E0,4.243264656E0
1.017700042E0,-7.790033452E-1,-2.358895433E-1,2.979913005E0,3.089072936E0
1.027729042E0,-1.058642487E0,3.039038588E0,-1.955602444E0,3.765748315E0
1.037758042E0,-6.725819007E-1,5.247250981E0,-4.604502232E0,7.013376510E0
1.047787042E0,7.420371748E-1,3.057845864E0,2.310521418E-1,3.155063484E0
1.057816042E0,1.228816343E0,2.247656833E0,3.543645405E0,4.372570594E0
1.067845042E0,8.751817104E-1,1.077795627E0,3.096125246E0,3.393166365E0
1.077874042E0,4.086235661E-1,2.110540795E-1,1.409495307E0,1.482630791E0
1.087904042E0,3.014126014E-1,-7.091886136E-1,-7.886198223E-2,7.746078092E-1
1.097933042E0,3.651301854E-1,-2.005138009E0,-1.559183443E0,2.566116033E0
1.107962042E0,5.014759254E-1,-2.958609844E0,-3.046435023E0,4.276168456E0
1.117991042E0,9.805970684E-1,-3.003318824E0,-3.548295695E0,4.750989046E0
1.128020042E0,1.579226675E0,-2.116735628E0,-2.972544343E0,3.976247789E0
1.138049042E0,1.795334064E0,-1.384205807E0,-2.823423972E0,3.620907765E0
1.148079042E0,1.110233640E0,-1.669069582E0,-3.933354142E0,4.414712540E0
1.158108042E0,-1.554329523E-1,-2.374434116E0,-5.801113281E0,6.270168424E0
1.168137042E0,-7.802172272E-1,-2.873209213E0,-7.651734815E0,8.210549055E0
1.178166042E0,-1.271415356E0,-3.365969279E0,-8.606019706E0,9.327905519E0
1.188195042E0,-1.646916090E0,-3.864615736E0,-8.949494509E0,9.886406797E0
1.198224042E0,-1.925082318E0,-3.805200424E0,-9.388463114E0,1.031158241E1
1.208253042E0,-1.707915413E0,-3.416618445E0,-9.761983835E0,1.048268024E1
1.218283042E0,-9.036304611E-1,-3.341904478E0,-9.832199539E0,1.042386787E1
1.228312042E0,-3.831169517E-1,-3.489988430E0,-9.197026443E0,9.844394000E0
1.238341042E0,-3.187951675E-1,-3.443233801E0,-8.350025681E0,9.037721961E0
1.248370042E0,-2.980421566E-1,-3.282623359E0,-7.580848435E0,8.266420522E0
1.258399042E0,-3.196928613E-2,-3.345440581E0,-7.001812702E0,7.760049989E0
1.268428042E0,3.006185860E-1,-3.515696298E0,-6.594561734E0,7.479220311E0
1.278458042E0,2.958424341E-1,-3.615953535E0,-6.192476195E0,7.177005235E0
1.288487042E0,-1.627785169E-1,-3.521165492E0,-6.134950703E0,7.075501635E0
1.298516042E0,-6.424395771E-1,-3.585514685E0,-6.437075751E0,7.396255024E0
1.308545042E0,-1.296927927E0,-4.195947627E0,-6.495608718E0,7.840977691E0
1.318574042E0,-2.059212767E0,-4.637175011E0,-6.136611312E0,7.962521441E0
1.328603042E0,-1.933920092E0,-4.522567246E0,-5.842722652E0,7.637477948E0
1.338633042E0,-1.291940837E0,-4.234007153E0,-5.486373450E0,7.049554690E0
1.348662042E0,-9.033369309E-1,-4.064707456E0,-5.422608393E0,6.836852061E0
1.358691042E0,-3.917880801E-1,-3.910034276E0,-5.845749756E0,7.043767184E0
